,East,East Midlands,London,North East,North West,South East,South West,West Midlands,Yorkshire and The Humber
2046-04-01,0.8492504233733712,0.8490962309765455,0.847736237002311,0.8394903655648708,0.8499430536345493,0.849812687634283,0.8497081051017933,0.8455768704080358,0.849653517668907
2046-07-01,0.8493346451487667,0.8491993733953646,0.8479595598087616,0.8404533131086463,0.849950722043633,0.8498354725752231,0.8497425870345655,0.8460118104212092,0.8496952310283179
2046-10-01,0.8494094104198648,0.8492907545431941,0.8481608993598946,0.8413289417006092,0.8499573578750068,0.8498554863950587,0.8497729966589579,0.8464041633138749,0.8497319240585378
2047-01-01,0.8494757795762788,0.849371713434332,0.848342410654267,0.842125009574333,0.8499631001558041,0.8498730660118599,0.849799814671718,0.8467580649531583,0.8497642006128118
2047-04-01,0.8495346943987683,0.8494434370927925,0.8485060391220186,0.8428486137054128,0.8499680691976972,0.8498885074051795,0.8498234650817692,0.8470772559286618,0.8497925919931058
2047-07-01,0.8495869912632404,0.8495069777063853,0.8486535406881728,0.8435062412034335,0.8499723691155004,0.8499020705848187,0.8498443218833559,0.8473651181312447,0.8498175656485667
2047-10-01,0.849633412888195,0.8495632678659267,0.8487864999749788,0.8441038176121691,0.8499760900070449,0.8499139839578149,0.8498627149463036,0.8476247081742898,0.8498395328352532
2048-01-01,0.849674618783442,0.8496131340987445,0.8489063468044897,0.8446467521281269,0.8499793098398241,0.8499244481662349,0.8498789352146503,0.8478587878858678,0.8498588553602294
2048-04-01,0.8497111945414219,0.8496573088837915,0.8490143711508336,0.8451399797908444,0.8499820960838201,0.8499336394596795,0.8498932392943982,0.8480698520927699,0.84987585151875
2048-07-01,0.849743660097569,0.8496964413159024,0.849111736680304,0.8455880007309241,0.8499845071246261,0.8499417126587323,0.8499058535018084,0.848260153907965,0.849890801320512
2048-10-01,0.8497724770727179,0.8497311065688516,0.8491994930065525,0.845994916585576,0.8499865934864052,0.8499488037588351,0.8499169774353944,0.8484317277223475,0.8499039510896682
2049-01-01,0.8497980552984682,0.8497618142907803,0.8492785867778601,0.8463644642080573,0.8499883988902631,0.8499550322181099,0.849926787127438,0.848586410090161,0.8499155175133015
2049-04-01,0.8498207586155613,0.8497890160510768,0.8493498717037857,0.8467000468082233,0.8499899611701668,0.849960502967418,0.8499354378243514,0.8487258586856405,0.8499256912042283
2049-07-01,0.8498409100255832,0.8498131119448138,0.8494141176193876,0.847004762667626,0.8499913130655807,0.8499653081763068,0.8499430664394702,0.8488515694964821,0.8499346398361938
2049-10-01,0.8498587962675793,0.8498344564492079,0.8494720186767603,0.8472814315751657,0.8499924829074011,0.849969528804452,0.8499497937167639,0.8489648924079884,0.8499425109026204
